Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Place,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile
Boston Rob Mariano,2.8,3.43,0.82,0,1,5,27,3,0.27,1.04,1,0,9,0,1.09,3.84,18,13,2,0.5,0.5,1,1,1.5,1.5,20,4,2,6,4,10,6,0.6,0
J.T. Thomas,1.23,4.23,0.29,0,5,5,50,6,0.82,2.59,5,0,9,0,1.11,3.82,27,10,1,0,0,2,0,2,0,20,6,3,8,4,14,7,0.5,0
Cirie Fields,0.23,0.72,0.31,1,2,3,27,3,0.63,2.67,2,0,9,0,0.94,2.89,11,17,1,0,0,0,0,0,0,20,2,1,4,1,6,2,0.333333333,0
Colby Donaldson,1.56,10.56,0.15,1,5,7,85,11,0.45,1.16,8,0,9,0,0.59,2.72,37,5,6,1,0,7,0,8,0,20,7,4,8,4,15,8,0.533333333,0
Amanda Kimmel,1.56,5.56,0.28,0,4,10,59,7,0.55,1.14,4,0,9,0,0.83,2.7,30,9,3,0,0,3,0,3,0,20,7,4,8,4,15,8,0.533333333,0
Tyson Apostol,0.66,2.03,0.33,1,1,3,19,2,0.42,2,1,0,9,0,0.75,2.66,15,15,1,0,0,1,0,1,0,20,3,2,5,3,8,5,0.625,0
Rupert Boneham,1.23,9.56,0.13,1,6,10,80,10,0.59,1.2,7,0,9,0,0.72,2.43,36,6,4,1,0,6,0,7,0,20,7,3,8,4,15,7,0.466666667,0
Tom Westman,0.23,1.03,0.22,0,2,5,34,4,0.46,1.56,2,0,9,0,0.68,1.78,14,16,2,0,0,0,0,0,0,20,3,1,5,1,8,2,0.25,0
James Clement,0.23,2.03,0.11,0,3,7,40,5,0.57,1.53,3,0,9,0,0.68,1.75,15,14,2,0,0,1,0,1,0,20,3,1,5,1,8,2,0.25,0
Coach Wade,0.8,2.83,0.28,0,1,4,34,4,0.22,0.88,3,0,9,0,0.5,1.68,21,12,3,0,0,1,0,1,0,20,5,2,7,4,12,6,0.5,0
Stephenie LaGrossa,0.1,0.33,0.31,0,1,6,19,2,0.34,1.4,1,0,9,0,0.65,1.5,6,19,1,0,0,0,0,0,0,20,1,1,2,0,3,1,0.333333333,0
Courtney Yates,0.57,3.23,0.18,6,2,9,40,5,0.36,0.86,2,0,9,0,0.53,1.43,24,11,3,0,0,1,0,1,0,20,6,2,8,2,14,4,0.285714286,0
Randy Bailey,0.1,0.45,0.22,1,0,9,10,1,-0.9,0,0,0,9,0,-0.68,0.1,8,18,1,0,0,0,0,0,0,20,1,0,3,1,4,1,0.25,0
Sugar Kiper,0.1,0.2,0.5,0,0,9,10,1,-0.9,0,0,0,9,0,-0.4,0.1,3,20,1,0,0,0,0,0,0,20,1,1,1,0,2,1,0.5,0
Mike Skupin,4.05,13.36,0.3,1,6,0,60,8,0.75,5.25,8,1,8,0.13,1.18,10.05,39,2,2,3,1,8,2,11,3,25,5,1,6,3,11,4,0.455,0
Denise Stapley,1.65,13.36,0.12,0,11,6,89,14,0.78,2.2,10,6,8,0.75,1.65,8.35,39,1,3,3,0,8,1,11,1,25,5,3,6,0,11,3,0.273,0
Malcolm Freberg,5.21,13.36,0.39,0,9,6,78,12,0.74,2.1,9,0,8,0,1.13,7.31,38,4,3,3,2,8,2,11,4,25,5,4,6,2,11,6,0.545,0
